Date,BTC,ADA,SOL
2025-01-01,"94,560.2",0.9211,194.157
2024-12-31,"93,557.2",0.8453,189.485
2024-12-30,"92,779.8",0.8614,191.330
2024-12-29,"93,716.3",0.8589,189.892
2024-12-28,"95,284.5",0.8895,195.350
2024-12-27,"94,275.9",0.8769,184.121
2024-12-26,"95,777.7",0.8610,188.448
2024-12-25,"99,391.3",0.9174,197.447
2024-12-24,"98,668.1",0.9358,196.997
2024-12-23,"94,852.1",0.9265,189.989
2024-12-22,"95,183.8",0.8838,180.482
2024-12-21,"97,253.3",0.9045,181.146
2024-12-20,"97,795.7",0.9510,194.436
2024-12-19,"97,466.1",0.8810,193.835
2024-12-18,"100,197.8",0.9697,206.745
2024-12-17,"106,138.9",1.0510,222.810
2024-12-16,"106,057.6",1.0778,216.172
2024-12-15,"104,443.0",1.0993,223.797
2024-12-14,"101,417.7",1.0612,219.877
2024-12-13,"101,426.2",1.1207,224.910
2024-12-12,"100,009.9",1.1232,226.925
2024-12-11,"101,126.2",1.0870,227.408
2024-12-10,"96,600.3",1.0216,213.680
2024-12-09,"97,359.4",1.1968,217.012
2024-12-08,"101,115.8",1.1933,237.097
2024-12-07,"99,837.0",1.2105,238.379
2024-12-06,"99,760.7",1.2275,236.799
2024-12-05,"96,970.8",1.1609,236.242
2024-12-04,"98,635.8",1.1863,229.216
2024-12-03,"95,898.7",1.1915,233.980
2024-12-02,"95,846.6",1.2021,225.794
2024-12-01,"97,201.4",1.1486,236.775
2024-11-30,"96,405.7",1.0779,237.600
2024-11-29,"97,438.0",1.0757,243.285
2024-11-28,"95,645.5",1.0318,237.594
2024-11-27,"95,886.6",1.0125,241.983
2024-11-26,"91,977.6",0.9621,230.745
2024-11-25,"93,064.4",0.9430,234.073
2024-11-24,"97,935.2",1.0223,252.800
2024-11-23,"97,699.0",1.0658,254.913
2024-11-22,"98,929.7",1.0140,256.576
2024-11-21,"98,374.5",0.8211,256.587
2024-11-20,"94,303.9",0.7997,235.513
2024-11-19,"92,239.2",0.7382,237.593
2024-11-18,"90,478.7",0.7326,239.769
2024-11-17,"89,833.7",0.7026,237.467
2024-11-16,"90,539.1",0.7415,215.662
2024-11-15,"91,046.5",0.7064,218.439
2024-11-14,"87,294.0",0.5790,209.490
2024-11-13,"90,422.2",0.5783,215.187
2024-11-12,"87,941.3",0.5700,211.579
2024-11-11,"88,664.1",0.6125,222.141
2024-11-10,"80,388.5",0.5894,210.053
2024-11-09,"76,700.3",0.4954,199.920
2024-11-08,"76,517.3",0.4441,199.844
2024-11-07,"75,868.6",0.4065,196.233
2024-11-06,"75,586.3",0.3631,186.627
2024-11-05,"69,373.7",0.3336,166.624
2024-11-04,"67,848.8",0.3264,157.953
2024-11-03,"68,769.6",0.3339,162.483
2024-11-02,"69,325.8",0.3481,166.082
2024-11-01,"69,507.2",0.3575,166.165
2024-10-31,"70,281.8",0.3418,168.754
2024-10-30,"72,347.8",0.3550,174.918
2024-10-29,"72,730.4",0.3560,179.425
2024-10-28,"69,954.1",0.3437,178.199
2024-10-27,"68,004.6",0.3400,176.701
2024-10-26,"67,086.8",0.3339,170.798
2024-10-25,"66,696.8",0.3260,165.098
2024-10-24,"68,191.5",0.3465,177.159
2024-10-23,"66,663.7",0.3500,170.927
2024-10-22,"67,427.3",0.3645,167.364
2024-10-21,"67,371.3",0.3608,166.142
2024-10-20,"69,030.5",0.3650,167.338
2024-10-19,"68,372.0",0.3514,159.683
2024-10-18,"68,423.1",0.3507,154.913
2024-10-17,"67,418.4",0.3432,150.503
2024-10-16,"67,617.9",0.3522,154.275
2024-10-15,"67,077.5",0.3592,154.774
2024-10-14,"66,081.7",0.3644,157.536
2024-10-13,"62,870.9",0.3487,147.682
2024-10-12,"63,205.1",0.3532,146.404
2024-10-11,"62,499.4",0.3517,145.449
2024-10-10,"60,316.2",0.3396,139.038
2024-10-09,"60,628.8",0.3395,139.308
2024-10-08,"62,157.0",0.3449,143.516
2024-10-07,"62,245.6",0.3508,143.932
2024-10-06,"62,819.4",0.3574,146.488
2024-10-05,"62,061.4",0.3509,142.604
2024-10-04,"62,081.0",0.3517,143.161
2024-10-03,"60,751.2",0.3451,136.835
2024-10-02,"60,645.7",0.3432,140.236
2024-10-01,"60,835.5",0.3523,145.261
2024-09-30,"63,339.2",0.3734,152.630
2024-09-29,"65,607.1",0.3976,158.479
2024-09-28,"65,866.5",0.4006,156.710
2024-09-27,"65,776.3",0.4017,157.647
2024-09-26,"65,175.7",0.4016,155.548
2024-09-25,"63,156.5",0.3811,147.999
2024-09-24,"64,256.8",0.3876,152.684
2024-09-23,"63,331.8",0.3638,144.713
2024-09-22,"63,572.7",0.3517,144.732
2024-09-21,"63,348.1",0.3583,149.414
2024-09-20,"63,201.2",0.3522,146.699
2024-09-19,"62,938.6",0.3510,142.874
2024-09-18,"61,757.6",0.3438,134.327
2024-09-17,"60,309.1",0.3339,131.540
2024-09-16,"58,213.1",0.3302,131.405
2024-09-15,"59,138.5",0.3386,131.425
2024-09-14,"59,995.4",0.3539,137.158
2024-09-13,"60,511.6",0.3605,139.069
2024-09-12,"58,134.5",0.3562,136.038
2024-09-11,"57,338.7",0.3531,132.404
2024-09-10,"57,635.0",0.3430,135.604
2024-09-09,"57,049.6",0.3433,135.048
2024-09-08,"54,861.3",0.3389,130.092
2024-09-07,"54,156.5",0.3253,127.733
2024-09-06,"53,966.8",0.3148,125.031
2024-09-05,"56,183.2",0.3251,129.462
2024-09-04,"57,973.4",0.3232,133.652
2024-09-03,"57,479.8",0.3184,127.457
2024-09-02,"59,134.0",0.3362,134.948
2024-09-01,"57,315.7",0.3311,128.572
2024-08-31,"58,978.6",0.3451,135.342
2024-08-30,"59,119.7",0.3468,137.975
2024-08-29,"59,373.5",0.3580,140.025
2024-08-28,"59,016.0",0.3500,143.928
2024-08-27,"59,450.9",0.3503,146.921
2024-08-26,"62,846.2",0.3661,157.136
2024-08-25,"64,273.2",0.3849,159.083
2024-08-24,"64,159.3",0.3936,160.667
2024-08-23,"64,053.1",0.3914,153.150
2024-08-22,"60,372.2",0.3763,143.194
2024-08-21,"61,158.1",0.3689,142.726
2024-08-20,"59,005.8",0.3433,142.295
2024-08-19,"59,470.9",0.3367,144.304
2024-08-18,"58,446.3",0.3343,142.420
2024-08-17,"59,483.1",0.3373,141.914
2024-08-16,"58,877.2",0.3303,139.044
2024-08-15,"57,534.6",0.3249,142.479
2024-08-14,"58,707.8",0.3354,143.765
2024-08-13,"60,595.2",0.3399,146.663
2024-08-12,"59,350.0",0.3390,146.321
2024-08-11,"58,713.3",0.3276,141.440
2024-08-10,"60,931.7",0.3457,154.016
2024-08-09,"60,850.6",0.3483,156.247
2024-08-08,"61,699.7",0.3516,162.920
2024-08-07,"55,120.9",0.3235,144.422
2024-08-06,"56,057.8",0.3310,144.385
2024-08-05,"53,979.0",0.3117,129.702
2024-08-04,"58,141.8",0.3440,138.174
2024-08-03,"60,696.7",0.3645,142.442
2024-08-02,"61,478.7",0.3637,152.837
2024-08-01,"65,372.9",0.3928,167.504
2024-07-31,"64,626.0",0.3883,171.678
2024-07-30,"66,184.9",0.4014,179.061
2024-07-29,"66,798.7",0.4034,182.606
2024-07-28,"68,256.3",0.4073,184.904
2024-07-27,"67,843.1",0.4173,183.818
2024-07-26,"67,908.6",0.4173,183.058
2024-07-25,"65,799.3",0.3948,171.837
2024-07-24,"65,370.5",0.4062,178.082
2024-07-23,"65,937.8",0.4099,173.000
